system:index,NDVI,month,year,.geo
0,0.4598134160041809,1.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.45298558473587036,2.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.46889206767082214,3.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.5515784621238708,4.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,,5.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.3467329144477844,6.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.4870310127735138,7.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.5105999708175659,8.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.39458414912223816,9.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.542351484298706,10.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,,11.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.4338075518608093,12.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,,1.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.447665274143219,2.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.4576358199119568,3.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.6975393295288086,4.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.7280891537666321,5.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.6850046515464783,6.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,,7.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.5553203821182251,8.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.39966049790382385,9.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,,10.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,,11.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,,12.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,,1.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,,2.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,,3.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,,4.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.6993088126182556,5.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.6746880412101746,6.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,,7.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.7128573656082153,8.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,,9.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.5824719667434692,10.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,,11.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,,12.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,,1.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.4851166605949402,2.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.4317731261253357,3.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.6577497720718384,4.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.7400608062744141,5.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,,6.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
