year,month,ndvi
2015,1,0.45957452058792114
2015,2,0.45298558473587036
2015,3,0.46889206767082214
2015,4,0.5166357755661011
2015,5,
2015,6,0.6267657279968262
2015,7,0.4870310127735138
2015,8,0.5105999708175659
2015,9,0.5795807242393494
2015,10,0.5420771837234497
2015,11,
2015,12,0.4380430579185486
2016,1,
2016,2,0.447665274143219
2016,3,0.4576358199119568
2016,4,0.6255444884300232
2016,5,0.7280891537666321
2016,6,0.6850046515464783
2016,7,0.1007893905043602
2016,8,0.5553203821182251
2016,9,0.39966049790382385
2016,10,
2016,11,
2016,12,
2017,1,
2017,2,
2017,3,
2017,4,
2017,5,0.6993088126182556
2017,6,0.6680704951286316
2017,7,
2017,8,0.7126474976539612
2017,9,
2017,10,0.5824719667434692
2017,11,
2017,12,
2018,1,
2018,2,0.4851166605949402
2018,3,0.4317731261253357
2018,4,0.6577497720718384
2018,5,0.7410930395126343
2018,6,
2018,7,0.4481675922870636
2018,8,0.36056968569755554
2018,9,0.3061601519584656
2018,10,0.34200558066368103
2018,11,0.3848104178905487
2018,12,
2019,1,0.1383228451013565
2019,2,0.4162726402282715
2019,3,0.47018080949783325
2019,4,0.684445321559906
2019,5,
2019,6,0.7197133302688599
2019,7,0.5456563830375671
2019,8,0.46709245443344116
2019,9,0.43264248967170715
2019,10,0.5304884910583496
2019,11,
2019,12,0.5029232501983643
2020,1,0.4940933287143707
2020,2,
2020,3,0.3487952947616577
2020,4,0.6023600697517395
2020,5,0.7270798683166504
2020,6,0.6702997088432312
2020,7,
2020,8,0.4163435697555542
2020,9,0.5175560116767883
2020,10,0.5655809044837952
2020,11,
2020,12,0.532840371131897
2021,1,
2021,2,0.4379463791847229
2021,3,0.40375110507011414
2021,4,0.04587053507566452
2021,5,
2021,6,0.05232163518667221
2021,7,0.5229445099830627
2021,8,
2021,9,0.414598286151886
2021,10,0.6303746104240417
2021,11,
2021,12,
2022,1,
2022,2,
2022,3,0.4997836649417877
2022,4,0.5996695160865784
2022,5,0.7273293733596802
2022,6,
2022,7,0.5022839307785034
2022,8,0.34227636456489563
2022,9,0.654514729976654
2022,10,0.5981490015983582
2022,11,
2022,12,
2023,1,0.2369566559791565
2023,2,
2023,3,
2023,4,
2023,5,0.7518612742424011
2023,6,0.7194735407829285
2023,7,0.5601288080215454
2023,8,0.14114151895046234
2023,9,0.5160808563232422
2023,10,0.5360707640647888
2023,11,
2023,12,
